taxon,family,genus,species,transect,type,volume.m3,total.length.mm,Habitat,Habitat.verbose
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,6,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,6,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,6,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,5,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,6,Epipelagic,Epipelagic-neritic
Cypselurus simus,Exocoetidae,Cypselurus,simus,36,Inside,123.5,5,Epipelagic,Epipelagic-oceanic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,5,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Tylosurus acus,Belonidae,Tylosurus,acus,36,Inside,123.5,15,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,7,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Coryphaena hippurus,Coryphaenidae,Coryphaena,hippurus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,7,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,6,CoralReef,Reef-associated
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,7,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,11,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,6,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,6,Epipelagic,Epipelagic-neritic
Ceratoscopelus warmingii,Myctophidae,Ceratoscopelus,warmingii,36,Inside,123.5,7,Deep-water,Bathypelagic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Tylosurus acus,Belonidae,Tylosurus,acus,36,Inside,123.5,9,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,10,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,7,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,7,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,7,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,8,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,7,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,6,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,6,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,9,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,7,CoralReef,Reef-associated
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,7,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,6,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,12,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,22,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,12,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,5,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,6,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,6,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Ceratoscopelus warmingii,Myctophidae,Ceratoscopelus,warmingii,36,Inside,123.5,10,Deep-water,Bathypelagic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Unknown,Unknown,Unknown,,36,Inside,123.5,5,NA,NA
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,5,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,36,Inside,123.5,12,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Platybelone argalus,Belonidae,Platybelone,argalus,36,Inside,123.5,16,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,12,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Platybelone argalus,Belonidae,Platybelone,argalus,36,Inside,123.5,10,Epipelagic,Epipelagic-neritic
Parupeneus sp.,Mullidae,Parupeneus,sp.,36,Inside,123.5,5,CoralReef,Reef-associated
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,3,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,8,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Atherinomorus insularum,Atherinidae,Atherinomorus,insularum,36,Inside,123.5,6,CoralReef,Reef-associated
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,7,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Kyphosus sp.,Kyphosidae,Kyphosus,sp.,36,Inside,123.5,7,CoralReef,Reef-associated
Tylosurus crocodilus,Belonidae,Tylosurus,crocodilus ,36,Inside,123.5,11,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,4,Epipelagic,Epipelagic-neritic
Enchelyurus brunneolus,Blenniidae,Enchelyurus,brunneolus,36,Inside,123.5,4,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Seriola sp.,Carangidae,Seriola,sp.,36,Inside,123.5,12,CoralReef,Reef-associated
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,3,Epipelagic,Epipelagic-neritic
Decapterus macarellus,Carangidae,Decapterus,macarellus,36,Inside,123.5,7,CoralReef,Reef-associated
Abudefduf sp.,Pomacentridae,Abudefduf,sp.,36,Inside,123.5,12,CoralReef,Reef-associated
Hemiramphus depauperatus,Hemiramphidae,Hemiramphus,depauperatus,36,Inside,123.5,5,Epipelagic,Epipelagic-neritic
Parexocoetus brachypterus,Exocoetidae,Parexocoetus,brachypterus,36,Inside,123.5,2,Epipelagic,Epipelagic-neritic
Mulloidichthys sp.,Mullidae,Mulloidichthys,sp.,36,Inside,123.5,9,CoralReef,Reef-associated
